Date,Open,High,Low,Close,Adj Close,Volume
1/1/2022,0.17051,0.173423,0.170353,0.173035,0.173035,371336089
1/2/2022,0.173027,0.175989,0.171201,0.174403,0.174403,391041933
1/3/2022,0.174406,0.174406,0.168271,0.170088,0.170088,505900382
1/4/2022,0.170151,0.172339,0.168128,0.168803,0.168803,541922892
1/5/2022,0.168835,0.170747,0.151898,0.15942,0.15942,994086848
1/6/2022,0.159436,0.161706,0.155142,0.160213,0.160213,715345645
1/7/2022,0.160205,0.160295,0.151299,0.155023,0.155023,969384523
1/8/2022,0.155031,0.157725,0.147669,0.151954,0.151954,584437036
1/9/2022,0.151959,0.153742,0.149607,0.151065,0.151065,408786249
1/10/2022,0.151073,0.152135,0.13984,0.143359,0.143359,763684873
1/11/2022,0.143351,0.164621,0.142647,0.153399,0.153399,1628447666
1/12/2022,0.153458,0.161652,0.152095,0.161652,0.161652,896008600
1/13/2022,0.161562,0.174792,0.161562,0.172043,0.172043,2301820074
1/14/2022,0.172053,0.203232,0.171283,0.183549,0.183549,5784004926
1/15/2022,0.183644,0.1936,0.182676,0.185103,0.185103,1878282290
1/16/2022,0.185093,0.185093,0.175327,0.177176,0.177176,1102750171
1/17/2022,0.177187,0.177872,0.166891,0.171145,0.171145,1094379303
1/18/2022,0.171086,0.17379,0.162565,0.165485,0.165485,979693368
1/19/2022,0.165485,0.168647,0.160122,0.162356,0.162356,935006164
1/20/2022,0.162346,0.168846,0.155176,0.155204,0.155204,469269658
1/21/2022,0.155263,0.157156,0.141496,0.14264,0.14264,1163061854
1/22/2022,0.142651,0.145027,0.122816,0.132892,0.132892,1693524581
1/23/2022,0.13296,0.143072,0.132819,0.141863,0.141863,1006234946
1/24/2022,0.141881,0.141951,0.12722,0.137798,0.137798,1446873574
1/25/2022,0.137784,0.147236,0.133235,0.143049,0.143049,1347567750
1/26/2022,0.143014,0.152603,0.142152,0.143789,0.143789,1253108115
1/27/2022,0.143756,0.14501,0.136947,0.141247,0.141247,608707586
1/28/2022,0.141244,0.142413,0.13838,0.141656,0.141656,506667466
1/29/2022,0.141649,0.143984,0.14148,0.143056,0.143056,397610776
1/30/2022,0.143057,0.143515,0.138754,0.139471,0.139471,363976741
1/31/2022,0.139469,0.142264,0.136853,0.141805,0.141805,412307174
2/1/2022,0.141805,0.144129,0.141125,0.142631,0.142631,409432267
2/2/2022,0.142626,0.145253,0.136918,0.137235,0.137235,483194691
2/3/2022,0.137213,0.138747,0.135565,0.137541,0.137541,383506507
2/4/2022,0.137523,0.147592,0.13725,0.147503,0.147503,580740990
2/5/2022,0.147533,0.15014,0.14541,0.147141,0.147141,587009429
2/6/2022,0.14714,0.154775,0.145258,0.15377,0.15377,757004142
2/7/2022,0.153803,0.171586,0.151741,0.165578,0.165578,1791358822
2/8/2022,0.165606,0.169145,0.153709,0.158405,0.158405,1190116000
2/9/2022,0.158357,0.160704,0.155035,0.159123,0.159123,778670798
2/10/2022,0.159145,0.160437,0.151497,0.151889,0.151889,1053630584
2/11/2022,0.151895,0.154069,0.143349,0.144847,0.144847,776730555
2/12/2022,0.144856,0.147013,0.141678,0.144405,0.144405,602699408
2/13/2022,0.144379,0.157354,0.144031,0.148948,0.148948,1581065491
2/14/2022,0.148869,0.150132,0.143649,0.146003,0.146003,898042727
2/15/2022,0.145996,0.152199,0.145203,0.151761,0.151761,674961496
2/16/2022,0.151779,0.151824,0.146771,0.149095,0.149095,505588732
2/17/2022,0.14905,0.149889,0.138071,0.138552,0.138552,721382126
2/18/2022,0.138594,0.142097,0.13696,0.138768,0.138768,563817289
2/19/2022,0.138764,0.145906,0.138751,0.141206,0.141206,655782652
2/20/2022,0.141197,0.141197,0.135852,0.136868,0.136868,490138547
2/21/2022,0.136838,0.141345,0.128246,0.12849,0.12849,913773124
2/22/2022,0.128488,0.131696,0.125365,0.131553,0.131553,711967119
2/23/2022,0.131561,0.135337,0.127846,0.127846,0.127846,587472906
2/24/2022,0.127821,0.127851,0.109555,0.123813,0.123813,2046477370
2/25/2022,0.123843,0.128181,0.120983,0.127576,0.127576,805161073
2/26/2022,0.127568,0.130071,0.126199,0.127647,0.127647,535575654
2/27/2022,0.127639,0.128235,0.122053,0.123111,0.123111,592809151
2/28/2022,0.123118,0.134479,0.121954,0.133156,0.133156,765755924
3/1/2022,0.133174,0.13773,0.130462,0.133938,0.133938,876604512
3/2/2022,0.133964,0.136214,0.131232,0.13299,0.13299,709536320
3/3/2022,0.132998,0.133649,0.12781,0.12961,0.12961,518193386
3/4/2022,0.129631,0.129856,0.121544,0.122591,0.122591,650665594
3/5/2022,0.122614,0.125375,0.121572,0.124996,0.124996,334091552
3/6/2022,0.125025,0.125611,0.120384,0.120766,0.120766,400458464
3/7/2022,0.120769,0.122563,0.115015,0.117105,0.117105,513014829
3/8/2022,0.117106,0.119724,0.115838,0.117029,0.117029,491414294
3/9/2022,0.117047,0.123734,0.116766,0.121588,0.121588,519157507
3/10/2022,0.121572,0.121612,0.115532,0.116885,0.116885,513641345
3/11/2022,0.116893,0.118293,0.11457,0.115602,0.115602,388727358
3/12/2022,0.115608,0.117239,0.115132,0.115136,0.115136,235277001
3/13/2022,0.11508,0.116231,0.110686,0.111608,0.111608,373430106
3/14/2022,0.111607,0.118967,0.110817,0.114048,0.114048,822092169
3/15/2022,0.114043,0.114213,0.110937,0.112784,0.112784,400614617
3/16/2022,0.112779,0.116908,0.112364,0.116908,0.116908,537170937
3/17/2022,0.116907,0.11871,0.116281,0.116502,0.116502,412838814
3/18/2022,0.11649,0.119375,0.114568,0.119306,0.119306,410862503
3/19/2022,0.119278,0.124573,0.11853,0.123569,0.123569,628081786
3/20/2022,0.123579,0.123919,0.117991,0.119154,0.119154,428111799
3/21/2022,0.119146,0.121332,0.118306,0.119339,0.119339,439486516
3/22/2022,0.119333,0.12535,0.119014,0.122481,0.122481,610507111
3/23/2022,0.122487,0.130713,0.121361,0.129727,0.129727,998922753
3/24/2022,0.129722,0.140605,0.128455,0.13655,0.13655,2017926806
